Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method
Male,Middle-aged Adults,Yes,2,9,50,No Offer,Yes,26.98,No,None,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card
Female,Old Adults,No,0,0,64,No Offer,Yes,22.86,Yes,Fiber Optic,24.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,27,No Offer,Yes,10.55,No,DSL,29.0,Yes,Yes,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal
Male,Old Adults,Yes,0,1,3,No Offer,Yes,41.3,Yes,Fiber Optic,2.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,Yes,0,3,69,Offer A,Yes,38.52,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal
Male,Old Adults,Yes,0,1,30,No Offer,Yes,11.38,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Male,Middle-aged Adults,Yes,0,2,4,No Offer,Yes,9.67,No,Cable,22.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card
Female,Young Adults,No,0,0,49,No Offer,Yes,20.45,No,Cable,23.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal
Female,Old Adults,Yes,>=3,6,48,No Offer,Yes,13.4,No,Fiber Optic,75.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,5,Offer E,Yes,7.31,No,DSL,18.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,44,No Offer,No,0.0,No,Cable,3.0,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal
Male,Old Adults,Yes,2,4,72,No Offer,Yes,16.82,No,Fiber Optic,25.0,Yes,No,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card
Female,Middle-aged Adults,No,0,0,12,No Offer,Yes,42.58,Yes,DSL,22.0,No,No,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card
Female,Young Adults,Yes,0,1,7,No Offer,Yes,11.58,No,Fiber Optic,27.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Young Adults,No,2,0,66,No Offer,Yes,32.12,Yes,DSL,17.0,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,72,Offer A,Yes,24.53,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal
Female,Old Adults,Yes,0,5,72,Offer A,Yes,8.68,Yes,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal
Female,Young Adults,No,1,0,66,Offer A,Yes,27.09,Yes,Fiber Optic,51.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card
Female,Young Adults,Yes,1,5,65,No Offer,Yes,13.17,Yes,Fiber Optic,59.0,Yes,No,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Credit Card
Male,Middle-aged Adults,No,1,0,36,No Offer,Yes,21.3,No,Fiber Optic,18.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,42,Offer B,Yes,20.27,Yes,DSL,15.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card
Male,Middle-aged Adults,No,0,0,69,No Offer,Yes,2.52,No,Fiber Optic,24.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,10,No Offer,Yes,33.75,Yes,DSL,11.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card
Female,Middle-aged Adults,Yes,1,3,64,No Offer,Yes,37.0,Yes,DSL,19.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed Check
Female,Middle-aged Adults,Yes,0,3,53,Offer B,Yes,37.14,Yes,Cable,4.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal
Female,Middle-aged Adults,Yes,0,1,1,Offer E,Yes,28.04,No,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Male,Middle-aged Adults,Yes,0,1,15,No Offer,Yes,18.6,Yes,Fiber Optic,13.0,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,14,No Offer,Yes,33.5,Yes,None,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card
Male,Old Adults,Yes,0,7,70,Offer A,Yes,9.03,Yes,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal
Male,Middle-aged Adults,Yes,0,1,52,No Offer,Yes,38.37,No,Fiber Optic,14.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Male,Young Adults,No,0,0,20,Offer D,Yes,31.02,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card
Female,Old Adults,Yes,0,4,21,No Offer,Yes,30.3,Yes,DSL,18.0,No,Yes,Yes,No,No,Yes,No,No,One Year,No,Bank Withdrawal
Male,Young Adults,Yes,0,7,33,Offer C,Yes,48.85,No,Cable,30.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card
Male,Middle-aged Adults,No,>=3,0,15,No Offer,Yes,32.54,Yes,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal
Male,Old Adults,No,0,0,10,Offer D,Yes,7.51,No,Fiber Optic,18.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Young Adults,Yes,0,8,55,Offer B,Yes,47.46,Yes,DSL,53.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal
Female,Middle-aged Adults,Yes,0,1,63,No Offer,Yes,1.93,Yes,Fiber Optic,21.0,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal
Female,Young Adults,No,0,0,45,No Offer,Yes,4.48,Yes,Cable,51.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,1,Offer E,Yes,26.37,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check
Female,Middle-aged Adults,No,0,0,1,No Offer,Yes,46.49,Yes,DSL,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card
Male,Young Adults,No,0,0,46,No Offer,Yes,22.13,Yes,Fiber Optic,22.0,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card
Female,Old Adults,Yes,1,2,72,No Offer,Yes,9.88,Yes,Cable,16.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal
Male,Young Adults,No,0,0,9,No Offer,Yes,8.91,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card
Male,Old Adults,Yes,0,1,71,No Offer,Yes,44.66,Yes,Fiber Optic,8.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card
Female,Young Adults,No,0,0,6,Offer E,Yes,7.72,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card
Female,Middle-aged Adults,No,0,0,15,No Offer,Yes,30.54,No,DSL,11.0,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,29,No Offer,No,0.0,No,DSL,7.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,34,No Offer,Yes,17.09,No,DSL,16.0,Yes,No,Yes,No,No,No,No,Yes,One Year,No,Mailed Check
Male,Middle-aged Adults,Yes,>=3,8,56,Offer B,Yes,40.86,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card
Female,Young Adults,No,0,0,43,Offer B,Yes,24.85,Yes,Fiber Optic,26.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card
Female,Old Adults,Yes,0,1,20,No Offer,Yes,4.77,Yes,Fiber Optic,17.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Female,Young Adults,No,0,0,22,No Offer,Yes,18.01,No,Fiber Optic,2.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal
Male,Middle-aged Adults,Yes,2,1,4,Offer E,Yes,16.68,Yes,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card
Female,Old Adults,No,0,0,1,No Offer,Yes,42.5,No,Fiber Optic,8.0,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,13,No Offer,Yes,12.54,No,Fiber Optic,20.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,Yes,0,4,29,Offer C,No,0.0,No,DSL,22.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card
Female,Old Adults,Yes,0,1,61,No Offer,Yes,35.11,Yes,Fiber Optic,17.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Credit Card
Male,Middle-aged Adults,No,0,0,8,No Offer,Yes,41.13,No,DSL,27.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,24,No Offer,Yes,8.99,Yes,DSL,5.0,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal
Female,Young Adults,No,0,0,38,No Offer,Yes,36.18,No,Fiber Optic,48.0,Yes,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card
Female,Young Adults,Yes,1,1,11,No Offer,No,0.0,No,Cable,41.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal
Female,Young Adults,Yes,0,1,58,No Offer,Yes,3.51,Yes,Fiber Optic,28.0,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card
Male,Middle-aged Adults,No,0,0,13,Offer D,Yes,10.11,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Male,Young Adults,Yes,2,1,60,No Offer,Yes,28.45,Yes,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card
Female,Old Adults,Yes,>=3,0,23,No Offer,Yes,7.11,Yes,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Female,Young Adults,No,0,0,32,Offer C,Yes,15.53,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal
Male,Young Adults,No,0,0,18,Offer D,Yes,1.42,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card
Male,Young Adults,No,0,0,10,No Offer,Yes,30.3,No,DSL,73.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal
Male,Old Adults,Yes,0,1,1,Offer E,No,0.0,No,Cable,18.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Male,Middle-aged Adults,Yes,0,1,72,Offer A,Yes,17.31,Yes,DSL,17.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card
Male,Old Adults,No,0,0,62,No Offer,Yes,47.8,Yes,Fiber Optic,8.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal
Male,Middle-aged Adults,Yes,0,5,72,No Offer,Yes,6.29,Yes,Fiber Optic,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card
Female,Old Adults,No,0,0,65,Offer B,No,0.0,No,Cable,9.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal
Male,Middle-aged Adults,Yes,2,6,67,No Offer,Yes,5.48,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card
Female,Old Adults,No,0,0,7,No Offer,Yes,16.36,No,Fiber Optic,28.0,No,No,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal
Male,Young Adults,Yes,0,1,67,Offer A,Yes,28.4,Yes,Cable,10.0,No,Yes,Yes,No,No,No,No,Yes,One Year,No,Bank Withdrawal
Female,Young Adults,Yes,>=3,3,72,No Offer,Yes,12.96,No,DSL,56.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal
Female,Young Adults,Yes,0,1,70,Offer A,Yes,16.78,Yes,Fiber Optic,48.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal
Female,Young Adults,No,0,0,29,No Offer,Yes,44.33,No,Fiber Optic,7.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,Yes,>=3,0,1,No Offer,Yes,34.57,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check
Female,Young Adults,No,1,0,25,Offer C,Yes,39.9,No,DSL,27.0,No,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card
Male,Middle-aged Adults,Yes,1,1,4,No Offer,Yes,37.23,No,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card
Male,Old Adults,No,0,0,19,Offer D,Yes,17.17,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card
Female,Young Adults,No,0,0,4,No Offer,Yes,38.74,Yes,Fiber Optic,51.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card
Female,Young Adults,Yes,0,6,72,No Offer,Yes,15.35,Yes,DSL,41.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal
Female,Young Adults,Yes,0,6,59,No Offer,Yes,31.43,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card
Female,Old Adults,No,0,0,32,Offer C,Yes,35.97,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,31,No Offer,Yes,26.16,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Female,Middle-aged Adults,Yes,>=3,9,72,No Offer,No,0.0,No,DSL,53.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card
Male,Old Adults,No,0,0,35,No Offer,Yes,3.04,No,DSL,18.0,No,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal
Male,Young Adults,No,1,0,71,No Offer,Yes,31.89,Yes,Fiber Optic,30.0,Yes,Yes,No,No,No,No,No,Yes,One Year,Yes,Credit Card
Female,Middle-aged Adults,Yes,0,7,72,Offer A,Yes,12.85,Yes,Fiber Optic,24.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal
Male,Old Adults,Yes,2,1,24,Offer C,Yes,17.27,Yes,DSL,18.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Male,Middle-aged Adults,Yes,0,8,40,Offer B,Yes,39.22,No,Fiber Optic,27.0,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,Yes,0,3,58,Offer B,Yes,27.93,No,None,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal
Female,Young Adults,No,0,0,7,No Offer,Yes,15.84,No,DSL,14.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,21,No Offer,Yes,16.81,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Mailed Check
Male,Middle-aged Adults,Yes,>=3,5,69,No Offer,Yes,40.36,No,Cable,53.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal
Female,Middle-aged Adults,No,1,0,5,No Offer,Yes,23.89,No,DSL,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check
Female,Middle-aged Adults,No,0,0,9,No Offer,Yes,24.52,No,Fiber Optic,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Male,Old Adults,Yes,0,0,54,No Offer,Yes,38.48,Yes,Fiber Optic,13.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Credit Card
Male,Middle-aged Adults,No,0,0,51,Offer B,Yes,45.92,Yes,Fiber Optic,12.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal
Female,Young Adults,Yes,0,1,72,No Offer,Yes,1.67,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card
Male,Old Adults,No,0,0,4,No Offer,Yes,30.44,Yes,Cable,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card
Male,Young Adults,Yes,0,7,70,Offer A,No,0.0,No,DSL,30.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal
Female,Middle-aged Adults,Yes,1,1,23,Offer D,Yes,39.59,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal
Male,Middle-aged Adults,Yes,2,3,68,No Offer,Yes,31.4,No,Fiber Optic,19.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal
Female,Middle-aged Adults,Yes,0,1,63,Offer B,Yes,38.85,Yes,Fiber Optic,27.0,No,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card
Male,Old Adults,No,0,0,1,No Offer,Yes,3.84,Yes,Fiber Optic,13.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,61,No Offer,Yes,23.45,Yes,DSL,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal
Female,Young Adults,No,0,0,5,No Offer,Yes,48.49,Yes,Fiber Optic,85.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Old Adults,Yes,0,9,59,Offer B,Yes,26.99,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal
Female,Young Adults,Yes,1,1,4,No Offer,Yes,39.89,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card
Female,Young Adults,No,1,0,8,No Offer,No,0.0,No,DSL,51.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,25,Offer C,Yes,17.64,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check
Male,Young Adults,No,0,0,1,Offer E,Yes,10.98,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal
Female,Young Adults,Yes,0,2,57,No Offer,Yes,6.63,Yes,Cable,27.0,No,Yes,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal
Male,Old Adults,No,2,0,21,Offer D,Yes,13.39,Yes,Fiber Optic,24.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Male,Young Adults,No,0,0,52,No Offer,Yes,6.8,Yes,DSL,30.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card
Female,Young Adults,Yes,>=3,3,33,No Offer,Yes,28.4,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card
Male,Middle-aged Adults,No,0,0,11,Offer D,Yes,17.12,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Female,Middle-aged Adults,Yes,2,6,27,Offer C,Yes,46.66,No,Fiber Optic,28.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card
Female,Old Adults,Yes,1,8,71,No Offer,Yes,11.13,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,1,No Offer,Yes,8.77,No,DSL,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card
Male,Young Adults,No,0,0,56,Offer B,Yes,48.63,No,None,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Mailed Check
Female,Young Adults,Yes,0,2,71,No Offer,Yes,39.44,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Female,Young Adults,No,0,0,12,Offer D,Yes,35.8,Yes,Fiber Optic,25.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,1,No Offer,Yes,40.4,No,Cable,13.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal
Female,Old Adults,Yes,0,1,25,No Offer,Yes,19.44,No,Fiber Optic,4.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,1,No Offer,Yes,22.86,No,Fiber Optic,24.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Old Adults,Yes,0,9,39,No Offer,Yes,20.15,Yes,Fiber Optic,21.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,63,No Offer,Yes,35.35,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card
Female,Young Adults,No,0,0,39,No Offer,No,0.0,No,DSL,8.0,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Male,Old Adults,No,0,0,14,Offer D,Yes,8.54,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card
Female,Young Adults,Yes,1,>=10,49,No Offer,Yes,9.07,No,DSL,82.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card
Female,Middle-aged Adults,Yes,>=3,2,12,No Offer,Yes,7.97,No,DSL,52.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card
Male,Old Adults,Yes,1,>=10,34,No Offer,Yes,5.65,No,Fiber Optic,26.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card
Male,Old Adults,No,0,0,65,No Offer,Yes,33.11,Yes,Fiber Optic,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card
Male,Old Adults,No,0,0,1,No Offer,Yes,21.85,Yes,Fiber Optic,29.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,Yes,0,>=10,68,Offer A,Yes,15.65,Yes,DSL,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal
Male,Old Adults,No,0,0,1,No Offer,Yes,16.19,No,Fiber Optic,12.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Female,Middle-aged Adults,No,>=3,0,4,Offer E,Yes,30.79,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card
Male,Old Adults,No,0,0,13,No Offer,Yes,40.99,No,DSL,21.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Mailed Check
Male,Middle-aged Adults,No,0,0,8,No Offer,No,0.0,No,DSL,16.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check
Female,Middle-aged Adults,No,0,0,54,Offer B,Yes,10.83,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card
Male,Old Adults,Yes,1,9,64,No Offer,Yes,37.09,Yes,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal
Male,Young Adults,No,0,0,58,Offer B,Yes,41.14,Yes,Fiber Optic,25.0,No,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal
Male,Young Adults,Yes,1,4,68,Offer A,Yes,36.51,No,DSL,24.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card
Female,Young Adults,No,0,0,9,Offer E,Yes,45.99,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card
Female,Young Adults,Yes,0,5,40,Offer B,Yes,22.2,Yes,Fiber Optic,76.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal
Female,Middle-aged Adults,Yes,0,0,72,Offer A,No,0.0,No,DSL,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal
Male,Young Adults,No,0,0,14,No Offer,Yes,9.19,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal
Female,Old Adults,Yes,2,>=10,23,No Offer,Yes,33.02,Yes,DSL,12.0,Yes,No,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal
Male,Young Adults,Yes,>=3,1,23,No Offer,Yes,48.02,Yes,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card
Female,Middle-aged Adults,No,0,0,18,No Offer,Yes,7.42,Yes,Fiber Optic,12.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,65,No Offer,Yes,41.78,Yes,Fiber Optic,14.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card
Female,Old Adults,Yes,0,1,3,Offer E,Yes,3.29,No,Fiber Optic,9.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Old Adults,No,0,0,39,No Offer,Yes,20.06,Yes,Fiber Optic,3.0,No,Yes,No,No,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal
Male,Old Adults,No,2,0,19,No Offer,Yes,36.16,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Male,Old Adults,Yes,0,1,13,No Offer,Yes,31.7,Yes,Cable,6.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,Yes,1,4,4,No Offer,Yes,27.24,No,DSL,21.0,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card
Male,Young Adults,Yes,0,1,3,No Offer,Yes,43.27,Yes,Fiber Optic,17.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Young Adults,Yes,0,1,71,No Offer,Yes,33.83,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal
Female,Middle-aged Adults,Yes,2,3,55,Offer B,Yes,27.87,No,Fiber Optic,17.0,No,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card
